camp_name,agency,governorate,district,coordinates_latitude,coordinates_longitude,site_typology,priorityneeds/urgent,background/ownerofthesite,background/date_first_occupied,background/recentinflux,background/totalpopulationfirstarrived,background/reasonfordisplacement,background/sitemanagement,background/awareofhumanitarianorganizationonsite,hh/total_families,hh/total_population,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_mental_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,vulnerabilities_groups/widow,shelter_type/tent,shelter_type/makeshift_improvised,shelter_type/singlefamily,shelter_type/multiplefamily,shelter_type/prefab,shelter_type/school,shelter_type/religiousbuilding,shelter_type/privatebuilding,shelter_type/publicbuilding,shelter_type/militaryspace,shelter_type/others,,protection/fallinghazardsinthesite,protection/riskofunexplodedmines,protection/opentoelements,protection/damagetoprimarybuilding,protection/otherbasicneeds,protection/anyincidents,protection/securitystafforpoliceofficersstationed,protection/tensionbetweenresidentsandhostcommunity,protection/threatsofeviction,protection/sufficientandreliableaccesstofood,Which of the following statements describes best the access to electricity at the site?,wash,wash/functionallatrines,wash/functionalshowers,wash/solidwastevisible,nfi/blankets,nfi/mattress,nfi/jerrycan,nfi/kerosene,nfi/kitchen,nfi/hygienekits,nfi/femalehyginekits,nfi/tarpaulin,nfi/solarlatrines,nfi/electricityaccess,nfi/others,health/functionalclinic,health/clinicemergencyservices,health/clinicprenatalservices,health/clinicdispensemedication,health/functionalhospital,health/hospitalemergencyservices,health/hospitlapediatricservices,health/hospitalprenatalservices,health/hospitaldipensemedication,education/primaryschool,education/primaryschooldistance,education/primarysufficientteachers,education/secondaryschool,educaton/secondschooldistance,education/secondarysufficientteachers,assistance/recent,Do you know their name?,Please add any additional comments based on observations or additional information provided by the key informant that would be useful for CCCM actors to know.,_id,_uuid,_submission_time,_validation_status,_index
Hay Al-Alsanaa,Blumont,Kirkuk,Kirkuk,35.35823296,44.32846558,Self settled camp,"Cash 
Food
Kerosen 
Livelihood
Wash",NA,2015-12-01,Yes,<25%,ISIS,Private,No,240,1440,150,200,130,260,250,310,60,80,30,0,0,3,1,10,120,0,30,0,0,50,190,0,0,0,0,0,0,0,Na,Extensive presence,No,Everyone,There is severe damage to primary building,"NFI 
Food 
Kerosen
Wash",No,No,No,No,No,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring electrical points near water sources overloaded circuits,Not available or not sufficient,No,,,,No,,,,,Yes,3,No,Yes,3,Yes,NA,,NA,7931843,7ee2ab9c-be75-4653-ba0f-1e083d2da54c,2019-12-01T12:12:36,,26
Wahid Athar,Blumont,Kirkuk,Kirkuk,35.4033043,44.3624385,Self settled camp,"Cash
Kerosene
Livelihood
Food",NA,2015-01-11,Yes,<25%,ISIS & Security Situation,Private,No,450,2700,200,390,285,490,405,620,130,180,40,0,0,8,6,0,120,0,60,0,0,400,50,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,Cash,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,7935940,6af52250-40f2-4803-9185-0124fe1dd207,2019-12-01T14:12:06,,27
Domiz,Blumont,Kirkuk,Kirkuk,35.3934417,44.3777849,Self settled camp,"Food
Kerosene
Livelihood
WASH",NA,2015-01-15,Yes,<25%,ISIS,Private,No,75,450,40,70,55,80,55,80,25,45,25,0,0,6,4,55,50,0,30,0,0,60,15,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,Cash,No,Yes,No,No,Yes,Less than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,7935941,627d022e-9d79-4ed1-9009-9b56503bfe6a,2019-12-01T14:12:07,,28
Hey Al - Asra,Blumont,Kirkuk,Kirkuk,35.3947295,44.3911673,Self settled camp,"Food
Kerosene
WASH
Livelihood",NA,2015-01-20,Yes,<25%,ISIS,Private,No,125,750,95,110,85,125,100,160,30,45,35,0,0,6,5,45,50,0,40,8,0,78,35,0,4,0,0,0,0,,,Some presence,No,Everyone,There is moderate damage to primary building,Cash,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,7935942,a129387b-b65a-455d-85ca-1b3b6f7c12d4,2019-12-01T14:12:08,,29
Ghirnata,Blumont,Kirkuk,Kirkuk,35.43491069,44.38481625,Self settled camp,"Cash
Shelter
Food
Material Clinic",N/A,2015-12-01,No,,ISIS,Private,No,580,3480,350,320,540,445,480,520,425,400,480,0,0,17,7,3,85,0,86,0,0,420,160,0,0,0,0,0,0,0,0,Some presence,No,Less than half,There is moderate damage to primary building,"Cash
Shelter ",No,No,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,500,500,Yes,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Don't know,,,,Don't know,,,,,Yes,2,No,Yes,3,No,N/A,,N/A,7936372,053e2eb0-f3c3-4077-8da5-4d1a118cad3e,2019-12-01T14:28:37,,30
Al-Nasr 1,Blumont,Kirkuk,Kirkuk,35.4263074,44.4043408,Self settled camp,"Fuel, Blankets,Heaters, NFI,",Private,2015-01-13,Yes,<25%,ISIS & Security Situation,Private,No,175,944,65,90,125,180,160,204,45,75,45,0,5,2,3,125,70,0,80,0,0,130,35,0,0,0,0,0,0,0,,Some presence,No,Everyone,There is moderate damage to primary building,"NFI, Cash, Fuel,",No,No,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,overloaded circuits Poor wiring,Not available or not sufficient,Yes,No,No,No,No,,,,,Yes,1,No,Yes,1,No,None,,"NFI, Fuel, Cash needed!",7942202,f2d9bfa7-64e4-4c71-9fc0-6d8fc419c7a9,2019-12-02T09:57:16,,31
Ertqaa,Blumont,Kirkuk,Kirkuk,35.49415217,44.34952973,Self settled camp,"Food
Livelihood
Kerosene
Wash",NA,2015-12-01,Yes,<25%,ISIS,Private,No,120,720,110,120,80,100,90,130,40,50,15,0,0,2,1,7,0,0,15,0,0,25,95,0,0,0,0,0,0,0,NA,Some presence,No,Half of more,There is moderate damage to primary building,"Food
Kerosen",No,No,No,No,Yes,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,No electricity in whole site,Not available or not sufficient,No,,,,No,,,,,Yes,2,No,Yes,3,No,NA,,NA,7949059,e16bd757-178c-41dd-9340-6f464523798e,2019-12-02T11:26:31,,32
Hamzali ,Blumont,Kirkuk,Kirkuk,35.44999302,44.37341782,Self settled camp,"Caah 
Livelihood
Food
Wash",NA,2015-12-02,No,,NA,Private,No,81,486,70,80,40,75,55,90,31,45,15,0,0,1,2,0,45,0,10,0,0,71,10,0,0,0,0,0,0,0,NA,Some presence,No,Half of more,There is moderate damage to primary building,"Caah 
Food",No,No,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,No,Yes,3,No,NA,,NA,7949062,e355d869-ac7f-4fd5-b989-7ac7f58c3638,2019-12-02T11:26:32,,33
Almas,Blumont,Kirkuk,Kirkuk,35.48106312,44.38234936,Self settled camp,NA,NA,2014-10-01,No,,NA,Private,No,10,40,5,8,5,7,6,6,1,2,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,NA,No presence,No,None,There is no damage to primary building,NA,No,No,No,No,Yes,All needs are met,All needs are met,1,1,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,None,Available and sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,2,,NA,,NA,7949064,686ae70c-1114-49bb-b497-9ac99ac9654a,2019-12-02T11:26:33,,34
Darwaza,Blumont,Kirkuk,Kirkuk,35.47308974,44.41524158,Self settled camp,"Cash 
Food 
Wash 
Livelihood",NA,2014-08-01,No,,ISIS,Private,No,100,630,60,80,75,95,80,150,40,50,20,0,0,1,1,7,25,0,10,0,0,80,20,0,0,0,0,0,0,0,NA,Some presence,No,Less than half,There is slight damage to primary building,"Food
Wash",No,No,No,No,Yes,Less than half of the people are facing shortages,All needs are met,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,3,Don't know,NA,,NA,7949065,565492cb-31a3-4aa2-8a7b-f81bc1ece622,2019-12-02T11:26:34,,35
Musala,Blumont,Kirkuk,Kirkuk,35.46190524,44.39642724,Self settled camp,"Cash 
Food 
Kerosene
Livelihood",NA,2014-10-01,No,,NA,Private,No,70,420,50,65,55,75,60,80,15,20,10,0,0,1,1,0,20,0,20,0,0,60,10,0,0,0,0,0,0,0,0,Some presence,No,Less than half,There is slight damage to primary building,"Food 
Cash",No,No,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,5,No,NA,,NA,7949068,62c30a80-1fa9-4779-86b9-cf3b97a5acc8,2019-12-02T11:26:35,,36
Hey Al Khadhraa,Blumont,Kirkuk,Kirkuk,35.4388792,44.3623882,Self settled camp,"Cash
WASH
Livelihood
Kerosene ",NA,2014-12-01,No,,ISIS,Private,No,270,1620,110,140,220,310,230,350,100,160,35,0,10,0,0,120,65,0,17,0,0,200,70,0,0,0,0,0,0,,,Some presence,No,Half of more,There is slight damage to primary building,Cash,Yes,No,No,No,Yes,Half or more than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,7954723,5a95a273-947e-4b24-be40-35807e0f9128,2019-12-02T14:05:35,,37
Amal Al_Shaabi,Blumont,Kirkuk,Kirkuk,35.50038785,44.33737567,Self settled camp,"Cash
SH/NFI
Food
Basic Services ",N/A,2014-12-02,No,,ISIS,Private,No,650,3900,450,350,600,700,500,600,300,400,25,0,0,6,9,6,175,0,40,0,0,500,150,0,0,0,0,0,0,0,0,Extensive presence,No,Half of more,There is severe damage to primary building,"Cash
Basic services
SH/NFI",No,Yes,No,No,Yes,Shortages in are affecting everyone,Half or more than half of the people are facing shortages,500,500,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3,No,Yes,3,No,N/A,,N/A ,7954885,56cc5b04-0093-484f-aa0c-d6ab036a34cd,2019-12-02T14:10:38,,38
Tiseen,Blumont,Kirkuk,Kirkuk,35.44832763,44.36766836,Self settled camp,"Food
Basic Services
Livelyhood
Cash",N/A,2014-08-27,No,,ISIS,Private,No,200,1300,150,180,100,70,200,200,200,200,65,0,0,1,3,9,45,1,65,0,0,140,60,0,15,10,0,0,0,0,0,Some presence,No,Half of more,There is moderate damage to primary building,"Cash 
SH/NFI
Food",No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,140,140,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,Not available or not sufficient,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Yes,1,No,N/A,,N/A,7954886,615a0b3c-b169-4a0f-9f62-8aca8ead2cbb,2019-12-02T14:10:39,,39
Baglar,Blumont,Kirkuk,Kirkuk,35.46962042,44.37722495,Self settled camp,"SH/NFI
Livelyhood
WASH
NFI",N/A,2015-01-20,No,,ISIS,Private,No,120,720,90,75,100,110,85,110,70,80,12,0,0,3,12,5,26,7,14,0,0,120,0,0,0,0,0,0,0,0,0,Some presence,No,Less than half,There is slight damage to primary building,"Cash
Livelyhood",No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,120,120,No,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points overloaded circuits Poor wiring,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,3,Yes,N/A,,N/A,7954887,fe8124ae-fb35-4d03-a868-ce64f8fb61f0,2019-12-02T14:10:40,,40
Azadi neighborhood ,Blumont,Kirkuk,Kirkuk,35.48085811,44.41140782,Self settled camp,"Basic services
Livelyhood
Cash
Food",N/A,2015-09-21,No,,ISIS,Private,No,100,600,110,100,75,90,75,70,40,40,20,0,0,1,20,2,17,2,14,0,0,75,25,0,7,0,0,0,0,0,0,Extensive presence,No,Half of more,There is severe damage to primary building,"Basic Services
Cash
Food
Livelyhood ",No,Yes,Unknown,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,100,100,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points overloaded circuits Poor wiring,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,2,Yes,N/A,,N/A,7954888,3a8cc10f-ee1d-4211-8a2f-21200a6e5268,2019-12-02T14:10:42,,41
Runaki neighborhood ,Blumont,Kirkuk,Kirkuk,35.43932017,44.40677301,Self settled camp,"WASH
Livelyhood
Basic Services
NFI ",N/A,2016-11-15,No,,ISIS,Private,No,200,1200,175,190,225,210,90,110,85,115,24,0,0,5,2,7,28,1,26,0,0,200,0,0,0,0,0,0,0,0,0,Some presence,No,Less than half,There is moderate damage to primary building,"Cash
NFI
Livelyhood ",No,Yes,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,200,200,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Poor wiring overloaded circuits low and uncovered electrical points electrical points near water sources,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,N/A,,N/A,7954889,7ac437c9-5d21-4e54-8ca5-8da0906fa1a5,2019-12-02T14:10:43,,42
Hay_Arrafa,Blumont,Kirkuk,Kirkuk,35.49489382,44.35914496,Self settled camp,"Food
Livelyhood
Cash
Basic services ",N/A,2014-07-07,No,,ISIS,Private,No,30,180,40,20,30,20,12,18,20,20,8,0,0,0,8,7,21,0,15,0,0,30,0,0,0,0,0,0,0,0,0,No presence,No,Less than half,There is moderate damage to primary building,"Food
Cash
Livelyhood",No,Yes,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,30,30,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,Yes,Yes,1,Yes,N/A,,N/A,7954890,923061af-397b-47e7-854e-daf38172e272,2019-12-02T14:10:44,,43
Hey Al Oruba,Blumont,Kirkuk,Kirkuk,35.42462812,44.38784795,Self settled camp,"Food
Kerosene 
Livelihood 
WASH",NA,2014-09-10,No,,ISIS & Security Situation,Private,Yes,900,40,2,2,2,22,3,5,2,2,2,2,2,2,5,5,2,2,2,0,0,750,150,0,0,0,0,0,0,0,,No presence,No,None,There is no damage to primary building,Cash,Yes,Yes,No,No,Yes,All needs are met,Shortages in are affecting everyone,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site,Not available or not sufficient,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,Blankets,IOM,,7963761,2d404c37-07c2-4084-b911-8223ef1881dc,2019-12-03T09:32:08,,44
Hay Alaskary,Blumont,Salah al-Din,Tooz Khurmato,34.87848381,44.61643914,Self settled camp,"Cash
WASH
Livelihood 
Kerosene",NA,2015-03-20,No,,ISIS,Private,I don't know,1567,9398,990,1350,920,1748,820,1880,700,990,155,0,6,20,3,1250,350,0,190,0,0,1400,167,0,0,0,0,0,0,,,Extensive presence,No,Everyone,There is severe damage to primary building,Cash,Yes,Yes,Unknown,No,Yes,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits low and uncovered electrical points,Not available or not sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,8006209,2804b0e8-d76b-4b72-9c59-123e05568820,2019-12-04T15:19:33,,45
Hay Al Teen,Blumont,Salah al-Din,Tooz Khurmato,34.87710294,44.61428964,Self settled camp,"WASH
Livelihood 
Kerosene 
Cash",NA,2015-07-10,No,,ISIS,Private,I don't know,933,5598,530,650,688,950,650,1070,450,610,65,0,8,45,15,590,210,0,250,0,0,850,83,0,0,0,0,0,0,,,Some presence,No,Everyone,There is severe damage to primary building,Cash,Yes,Yes,No,No,No,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,Not available or not sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,8006210,00c2ecb6-ae3a-4a74-9bc4-b54a6ab951c8,2019-12-04T15:19:34,,46
Hay Al-Norwaz,Blumont,Kirkuk,Daquq,35.13799039,44.44200108,Self settled camp,"Kerosene
Livelihood
WASH
Cash",NA,2015-02-20,No,,ISIS,Private,No,200,1200,120,150,200,230,170,200,60,70,25,0,0,1,2,10,35,0,15,0,0,150,50,0,0,0,0,0,0,0,NA,Some presence,No,Half of more,There is moderate damage to primary building,Cash,No,No,No,No,Yes,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,overloaded circuits Poor wiring,Not available or not sufficient,Yes,No,No,Yes,No,,,,,Yes,1,No,Yes,1,No,NA,,NA,7973679,59113c57-58f8-4655-aa12-2a95d194a620,2019-12-03T12:34:46,,47
Hay Ashti,Blumont,Kirkuk,Daquq,35.14703038,44.44076644,Self settled camp,"Cash 
Livelihood
Wash 
Health canter",NA,2014-08-01,No,,NA,Private,Yes,656,3966,620,720,560,515,570,645,166,170,40,0,8,7,6,150,75,0,15,0,0,600,56,0,0,0,0,0,0,0,NA,Some presence,No,Less than half,There is slight damage to primary building,NA,No,No,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring electrical points near water sources,Not available or not sufficient,Yes,No,No,Yes,No,,,,,Yes,1,No,Yes,1,No,NA,Reach,NA,7973681,182af842-bd4f-4bbd-bf30-428156311491,2019-12-03T12:34:47,,48
Kaleesa,Blumont,Kirkuk,Daquq,35.15866008,44.4419231,Self settled camp,"Cash
Kerosene 
Primary Health Care
Livelihood ",NA,2015-02-10,Yes,<25%,ISIS,Private,No,150,900,70,100,110,150,120,200,60,90,25,0,0,5,2,95,30,0,20,0,0,100,50,0,0,0,0,0,0,,,Extensive presence,No,Half of more,There is severe damage to primary building,Cash,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits low and uncovered electrical points,Not available or not sufficient,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,7975275,057fe4d8-927a-4268-96ee-2f2492d7e11a,2019-12-03T12:55:20,,49
Ronaky,Blumont,Kirkuk,Daquq,35.14816015,44.44426992,Self settled camp,"Cash
Primary Healthcare 
WASH
Kerosene",NA,2015-01-20,No,,ISIS,Private,No,150,900,90,130,100,185,100,190,45,60,20,0,0,3,1,85,45,0,35,0,0,90,60,0,0,0,0,0,0,,,Extensive presence,No,Everyone,There is severe damage to primary building,Cash,No,Yes,No,No,Yes,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,7975280,617f24d5-3422-436a-bd40-63c2d1ddff14,2019-12-03T12:55:21,,50
Hay lA naser,Blumont,Kirkuk,Kirkuk,35.41666329,44.40059327,Self settled camp,"Kerosene 
Livelihood 
Cash
WASH",N/A,2014-12-10,No,,ISIS,Private,No,600,3600,340,260,700,781,611,750,79,79,10,0,0,10,5,40,150,5,35,0,0,520,80,0,0,0,0,0,0,0,0,Some presence,No,Half of more,There is moderate damage to primary building,Bvo,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring electrical points near water sources overloaded circuits,Not available or not sufficient,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,N/A,7979647,f52a54f9-414c-4816-9d6f-de51f1a68b1c,2019-12-03T14:01:58,,51
Daquq_Hay Al-Salam,Blumont,Kirkuk,Daquq,35.15305503,44.4427298,Self settled camp,"Wash
Food
shelter
livelihood",N/A,2014-11-20,No,,ISIS,Private,No,253,1518,310,375,150,170,100,110,150,153,88,0,0,10,25,12,75,6,35,0,0,150,103,0,0,0,0,0,0,0,0,Extensive presence,No,Half of more,There is severe damage to primary building,"Cash
Education 
Health Assistance",No,No,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,150,150,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring electrical points near water sources overloaded circuits No electricity in whole site,Not available or not sufficient,No,,,,No,,,,,No,,,No,,,N/A,,N/A,7980519,b439206d-73af-4ce2-a39e-1e07078e3694,2019-12-03T14:13:14,,52
Gulan Village ,Blumont,Kirkuk,Daquq,35.14126907,44.45785112,Self settled camp,"SH/NFI
Basic Services 
Health Assistance 
Cash ",Private Owners,2014-08-14,No,,ISIS,Private,No,50,300,50,20,60,40,30,40,40,20,12,0,0,3,9,5,8,6,19,0,0,30,20,0,0,0,0,0,0,0,0,Extensive presence,No,Half of more,There is severe damage to primary building,"Cash
SH/NFI
Basic Services 
WASH",No,No,No,No,No,Shortages in are affecting everyone,Shortages in are affecting everyone,30,30,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points overloaded circuits No electricity in whole site,Not available or not sufficient,No,,,,No,,,,,No,,,No,,,N/A,,N/A,7980520,d2b2d46f-ac49-47b9-b335-82634514cf90,2019-12-03T14:13:15,,53
